dish,price
Hummus,800
Baba Ghanouj,800
Avocado,900
Muhammara,800
Mujaddara,800
Eggplant,800
Foule,800
Labne,800
Sampler Plate,1800
Extra Pita Bread,200
Garden,1300
Chopped,1100
Lentil,800
Citrus Chicken,1000
Zatter,1100
Margherita,1400
Red,1600
Green,1600
Rawa,1600
Mamyaldi,1800
Mamyaldi Vegan,1700
Msakhan,1800
Seafood,2000
Chicken Wings,1200
Falafel,1300
Moussaka,1500
Chicken Kebab,1700
Merguez Kebab,1800
Lamb Kebab,1800
Chicken Biryani,1800
Shrimp Biryani,2000
Lamb Chops,2500
Baklava,600
Basbousa,600
Fruit Salad,600
Muhalabia,700
Orange Juice,600
Carrot Juice,600
Lemonade,400
Chilled Hibiscus,400
Carbonated,200
Rawa,1000
Passion,1000
Fresh Margarita,1000
Mojito,1000
Saffroni,1200
Mastiha,1200
"Bellafino, Prosecco",3200
"Zardetto, Prosecco",900
"Clos Saint Thomas, Obeidy",3400
Massaya Blanc,3400
"Catena, Vista Flores Malbec",3400
"Black's Station, Cabernet Sauvignon",3200
Creta Roble,3400
"Massaya, Le Colombier Red Blend",3400
Chateau Vieux Meyney,3400
"Clos Saint Thomas, Chateau Rouge",4500
East Rock,600
Almaza,700
Allagash Draft,700
Black Hog,700
Black Hog,700
Dogfish,700
Two Roads,700
Two Roads,800
Two Roads Draft,800
Founders,800
Coffee,300
Tea,300
Hummus,3000
Baba Ghanouj,3000
Avocado,3500
Eggplant,3000
Muhammara,3000
Foule,3000
Mujaddara,3000
Garden,3500
Chopped,3000
Zatter Mini,1500
Margherita Mini,1500
Rawa Mini,1500
Red Mini,1500
Green Mini,1500
Msakhan Mini,1500
Falafel,3000
Chicken Kebab,3500
Lamb Kebab,4000
Shrimp Biryani,5000
Chicken Biryani,4000
Chicken Wings,3000
Moussaka,6000
Fruit Salad,6000
Baklava,6000
Basbousa,6000
Lemonade,2500
Chilled Hibiscus,2500
Pita Bread,1000
Cutlery,500
Serving Spoons,200
Plastic Plates,500
Plastic Cups,500
Pita Bread,1000
Hummus,3000
Baba Ghanouj,3000
Avocado,3500
Mujaddara,3000
Muhammara,3000
Eggplant,3000
Foule,3000
Garden,3500
Chopped,3000
Zatter Mini,1500
Margherita Mini,1500
Red Mini,1500
Green Mini,1500
Rawa Mini,1500
Msakhan Mini,1500
Falafel,3000
Chicken Wings,3000
Chicken Kebab,3500
Lamb Kebab,4000
Chicken Biryani,4000
Shrimp Biryani,5000
Moussaka,6000
Fruit Salad,6000
Baklava,6000
Basbousa,6000
Lemonade,2500
Chilled Hibiscus,2500
Cutlery Set,500
Bottled Water,1200
Bottled Water,1200
Plastic Cups,500
Plastic Plates,500
Serving Spoons,200
On-Site Service,10000
On-Site Service,10000
Vegetarian Biryani,1600
Vegan Biryani,3500
Vegan Biryani,3500
Lentil,3500
Citrus Chicken,4000
Lentil,3500
Citrus Chicken,4000
Clos Saint Thomas,3800
Sip of Sunshine Draft,800
East Rock Draft,600
East Rock Draft ,600
Nivik,800
Lahmbajeen,1400
"Falafel, one dip, baklava",2000
Margherita and Msakhan Pizza,2500
"Chicken Kebab, one dip, baklava",2300
"Lahmbajeen Pizza, two dips",2400
Merguez and Moussaka,2600
"Margherita Pizza, Chicken Wings, Baklava",2500
Any three pizzas,5000
"Moussaka, one dip, salad",6000
"Chicken kebab, two dips, salad",7000
"Lamb kebab, two dips, salad",8000
