orderId,created,status,time_guarantee,time,customerId,dispatch,platform,currency,subtotal,discount,tax,service_fees,tip,delivery,total,cash,card,Chicken Wings,Hummus,Carbonated,Lamb Chops,Pita Bread,Baba Ghanouj,Muhammara,Msakhan,Mamyaldi Vegan,Citrus Chicken,Garden,Eggplant,Lamb Kebab,Falafel,Baklava,Sampler Plate,Chicken Kebab,Muhalabia,Extra Pita Bread,Red,Labne,Margherita,Chicken Biryani,Rawa,Chopped,Zatter Mini,Avocado,Zatter,Merguez,Fruit Salad,Mujaddara,Lentil,Green,Moussaka,Foule,Shrimp Biryani,Basbousa,Cutlery Set,Carrot Juice,Chilled Hibiscus,Seafood,Mamyaldi,Margherita Mini,Msakhan Mini,Coffee,Merguez Kebab,Cutlery,Serving Spoons,Plastic Plates,Plastic Cups,Lemonade,Vegan Biryani,Green Mini,Red Mini,Rawa Mini,Vegetarian Biryani,Saffroni,Fresh Margarita,Nivik,Lahmbajeen,Margherita and Msakhan Pizza,"Zardetto, Prosecco",Passion,"Falafel, one dip, baklava","Chicken Kebab, one dip, baklava",Mastiha,Founders,"Massaya, Le Colombier Red Blend",Dogfish,Merguez and Moussaka,Two Roads,"Margherita Pizza, Chicken Wings, Baklava",Chateau Vieux Meyney,East Rock,Any three pizzas,"Lahmbajeen Pizza, two dips",Mojito,Almaza,Creta Roble,Sip of Sunshine Draft,"Clos Saint Thomas, Obeidy",Bottled Water,Orange Juice,Tea
1,6/29/19 2:37,accepted,about,6/29/19 15:25,1497,delivery,mobile web,USD,80,0,5.08,0,0,0,85.08,85.08,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7/1/19 14:30,accepted,about,7/2/19 14:34,1600,takeout,web,USD,70.01,0,4.45,0,0,0,74.45,74.45,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7/9/19 17:07,accepted,about,7/9/19 18:00,1704,delivery,web,USD,59,0,3.75,0,0,0,62.75,0,62.75,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7/10/19 12:14,accepted,about,7/10/19 13:45,1431,takeout,web,USD,63,0,4,0,0,0,67,67,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7/10/19 18:50,accepted,about,7/10/19 19:23,1458,takeout,mobile web,USD,97,0,6.16,0,1500,0,118.16,0,118.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7/15/19 17:25,canceled,about,7/16/19 17:49,1431,takeout,web,USD,120,0,7.62,0,0,0,127.62,127.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7/15/19 17:32,canceled,about,7/16/19 17:55,1431,takeout,web,USD,120,0,7.62,0,0,0,127.62,127.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7/15/19 17:44,canceled,about,7/16/19 18:02,1431,takeout,web,USD,90,0,5.72,0,0,0,95.72,95.72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7/15/19 17:48,canceled,about,7/16/19 18:14,1431,takeout,web,USD,90,0,5.72,0,0,0,95.72,95.72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7/15/19 17:52,canceled,about,7/16/19 18:18,1430,takeout,web,USD,120,0,7.62,0,0,0,127.62,127.62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7/15/19 19:41,accepted,about,7/16/19 18:22,1431,takeout,web,USD,90,0,5.72,0,0,0,95.72,95.72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7/15/19 19:44,accepted,about,7/16/19 20:11,1432,takeout,web,USD,90,0,5.72,0,0,0,95.72,95.72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7/15/19 19:56,accepted,about,7/16/19 20:16,1431,delivery,web,USD,119,0,7.56,0,100,0,127.56,125.56,2,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
